GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
20,Core (1952),explicit (named docs list),Yes,Yes,,Yes,Year 1,1,20,American Founding Documents,Constitution of the United States,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Law; State; Constitution; Citizen; Democracy; Justice; Liberty,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Constitution; Citizen; Democracy; Justice; Liberty,State
21,Core (1952),explicit (named docs list),Yes,Yes,,Yes,Year 1,1,21,American Founding Documents,The Federalist Papers,"Nos. 1-10, 15, 31, 47, 51, 68-71","Nos. 1-10, 15, 31, 47, 51, 68-71 (Revisit these as anchors after reading the whole work)",Citizen; Constitution; Democracy; Government; Law; Liberty; State; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Constitution; Democracy; Government; Law; Liberty; Justice,State
22,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,22,Adam Smith,The Wealth of Nations,"Introduction-Book I, Ch. 9","Introduction-Book I, Ch. 9 (Revisit these as anchors after reading the whole work)",Government; Labor; Wealth; Justice; Liberty; Progress; Prudence,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Labor; Justice; Liberty,Wealth; Progress; Prudence
23,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,23,Marx & Engels,Manifesto of the Communist Party,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Justice; Labor; Revolution; Slavery; State; Wealth; Progress,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Justice; Labor,Revolution; Slavery; State; Wealth; Progress
24,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 1,1,24,Tocqueville,Democracy in America,"Vol. 1, Part II, Ch. 6-8","Vol. 1, Part II, Ch. 6-8 (Revisit these as anchors after reading the whole work)",Government; Citizen; Democracy; Law; State; Constitution; Custom and Convention; Liberty,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Citizen; Democracy; Law; Constitution; Custom and Convention; Liberty,State
25,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 1,1,25,Ibsen,The Master Builder,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Duty; Family; Good and Evil; Truth; Will; God; Religion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Duty; Family; Good and Evil; God,Truth; Will; Religion
26,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 1,1,26,Schrödinger,What Is Life?,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Cause; Evolution; Life and Death; Nature; Science; God; Religion; Sin,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Evolution; Life and Death; God,Nature; Science; Religion; Sin
27,Core (1952),explicit (named docs list),Yes,Yes,,Yes,Year 1,1,27,American Founding Documents,The Articles of Confederation,"Focus: Articles II-III, IX, XIII; compare to Constitution","Focus: Articles II-III, IX, XIII; compare to Constitution (Revisit these as anchors after reading the whole work)",Government; Law; Constitution; State; Citizen; Liberty; Democracy; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Place with Declaration/Constitution/Federalist,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Constitution; Citizen; Liberty; Democracy; Justice,State
28,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,28,Montesquieu,The Spirit of the Laws,Book I; Book XI; selections from Books VIII & XII,Book I; Book XI; selections from Books VIII & XII (Revisit these as anchors after reading the whole work),Law; Constitution; Government; Justice; State; Democracy; Liberty; Monarchy,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Place with Founding Documents/constitutional thought,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Constitution; Government; Justice; Democracy; Liberty,State; Monarchy
29,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,1,Homer,The Iliad,,Focus: Book 1 (wrath); Book 6 (Hector/Andromache); Book 22 (Hector's death); Book 24 (Priam/Achilles) (Read whole; then re-read these anchors),Courage; Desire; Fate; Honor; Justice; Life and Death; War and Peace; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Desire; Fate; Honor; Justice; Life and Death; Love,War and Peace
30,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 2,2,2,Aeschylus,Agamemnon,,Focus: prophecy & sacrifice backstory; justice theme; murder scene & aftermath (Read whole; then re-read these anchors),Justice; Law; Punishment; Courage; Fate; Good and Evil; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Justice; Law; Courage; Fate; Good and Evil,Punishment; War and Peace
31,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 2,2,3,Aeschylus,Choephoroe,,Focus: recognition; matricide decision; justice vs pollution (Read whole; then re-read these anchors),Justice; Law; Punishment; Courage; Fate; Good and Evil; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Justice; Law; Courage; Fate; Good and Evil,Punishment; War and Peace
32,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 2,2,4,Aeschylus,Eumenides,,Focus: trial of Orestes; transformation of the Furies; civic justice (Read whole; then re-read these anchors),Justice; Law; Punishment; Courage; Fate; Good and Evil; War and Peace; Being,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Justice; Law; Courage; Fate; Good and Evil; Being,Punishment; War and Peace
33,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 2,2,5,Sophocles,Oedipus the King,,Focus: investigation logic; reversal/recognition; fate vs responsibility (Read whole; then re-read these anchors),Fate; Justice; Life and Death; Courage; Good and Evil; Law; Punishment; Language,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Fate; Justice; Life and Death; Courage; Good and Evil; Law; Language,Punishment
34,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 2,2,6,Sophocles,Antigone,,Focus: divine vs civic law; Creon's reasoning; tragic consequence chain (Read whole; then re-read these anchors),Law; Justice; Courage; Fate; Good and Evil; Life and Death; Punishment; Constitution,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Justice; Courage; Fate; Good and Evil; Life and Death; Constitution,Punishment
35,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,7,Herodotus,The History,Book I-II,Book I-II (Revisit these as anchors after reading the whole work),Government; History; War and Peace; Cause; Chance; Custom and Convention; Fate; Law,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; History; Cause; Chance; Custom and Convention; Fate; Law,War and Peace
36,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,8,Plato,Meno,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Dialectic; Education; Knowledge; Reasoning; Truth; Virtue and Vice; Good and Evil; Government,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Dialectic; Education; Knowledge; Good and Evil; Government,Reasoning; Truth; Virtue and Vice
37,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 2,2,9,Aristotle,Poetics,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Art; Beauty; Definition; Emotion; Form; Poetry; Government; Happiness,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Definition; Emotion; Form; Government; Happiness,Poetry
38,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,10,Aristotle,Nicomachean Ethics,"Book II; Book III, Ch. 5-12; Book VI, Ch. 8-13","Book II; Book III, Ch. 5-12; Book VI, Ch. 8-13 (Revisit these as anchors after reading the whole work)",Duty; Happiness; Justice; Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Happiness; Justice,Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice
39,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,11,Nicomachus,Introduction to Arithmetic,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
40,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,12,Lucretius,On the Nature of Things,Book I-IV,Book I-IV (Revisit these as anchors after reading the whole work),Nature; Physics; Science; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",,Nature; Physics; Science; Truth
41,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,13,Marcus Aurelius,Meditations,,Focus: discipline of assent; impermanence; duty; cosmopolitanism (Read whole; then re-read these anchors),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
42,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,14,Hobbes,Leviathan,Part I,Part I (Revisit these as anchors after reading the whole work),Government; Justice; Law; Liberty; Necessity and Contingency; State; Tyranny and Despotism; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Justice; Law; Liberty; Art,Necessity and Contingency; State; Tyranny and Despotism
43,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,15,Milton,Areopagitica,,Focus: argument against licensing; truth/testing; speech & conscience (Read whole; then re-read these anchors),Religion; Sin; Truth; Government; Law; Liberty; Poetry; Science,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Liberty,Religion; Sin; Truth; Poetry; Science
