Status,GlobalSeq,Year,SeqInYear,Author,Work,PlanSelection,GreatIdeas,BeforeReading,DuringReading,AfterReading,Hook,ResourceKeys,ResourceTitles,ResourceURLs,Themes,GreatBooksSet,PlacementNote
Not Started,11,1,11,St. Augustine,Confessions,Book I-VIII,God; Love; Sin; Soul; Time; Truth; Will; Religion,BBC Civilisation — late antique/Christian transition context; then OYC New Testament background if needed.,Gregory B. Sadler — use/search: “St. Augustine Confessions lecture”,Bryan Magee or a late-antique Christianity lecture; ask how inwardness becomes philosophical evidence.,"Watch for God; Love; Sin; Soul: Christian thought absorbs classical philosophy by relocating the drama inside memory, will, sin, grace, and time.",BBC_CIVILISATION; OYC_NT; SADLER; MAGEE,Kenneth Clark — Civilisation; Open Yale RLST 152 — Introduction to New Testament History and Literature; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://www.bbcselect.com/watch/civilisation/; https://oyc.yale.edu/religious-studies/rlst-152; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,God; Love; Sin; Soul; Time; Truth; Will; Religion,Core (1952),
Not Started,12,1,12,Machiavelli,The Prince,Focus: ch. 6-9 (new princes); ch. 15-19 (virtù/vice); ch. 25-26 (fortune & Italy) (Read whole; then re-read these anchors),Constitution; Government; Law; Prudence; Revolution; State; Tyranny and Despotism,OYC Political Philosophy — watch the matching author lectures; use Crash Course European History for state/revolution context.,Open Yale / lecture cue — use/search: “Machiavelli The Prince political philosophy lecture”,"Harvard Justice — connect sovereignty, consent, rights, equality, and democracy to live moral-political arguments.","Watch for Constitution; Government; Law; Prudence: modern politics asks what authority remains when custom, throne, church, and nature lose automatic command.",OYC_POLPHIL; OYC_SOCIAL; HARVARD_JUSTICE; CRASH_EURO,Open Yale PLSC 114 — Introduction to Political Philosophy; Open Yale SOCY 151 — Foundations of Modern Social Theory; Harvard Justice — Michael Sandel course videos; Crash Course European History,https://oyc.yale.edu/political-science/plsc-114; https://oyc.yale.edu/sociology/socy-151; https://justiceharvard.org/; https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX,Constitution; Government; Law; Prudence; Revolution; State; Tyranny and Despotism,Core (1952),
Not Started,13,1,13,Rabelais,Gargantua and Pantagruel,Book I-II,Art; Custom and Convention; Education; Good and Evil; Happiness; Language,"PBS Medici for Renaissance humanism; then BBC Civilisation for print, learning, and reforming Europe.",Lecture/documentary cue — use/search: “Rabelais Gargantua and Pantagruel Renaissance humanism”,"Rick Steves Luther — use Reformation pressure as the background for satire, skepticism, education, and self-examination.",Watch for Art; Custom and Convention; Education; Good and Evil: Renaissance humanism reopens antiquity and discovers the self as a problem.,BBC_CIVILISATION; PBS_MEDICI; RICK_STEVES_LUTHER,Kenneth Clark — Civilisation; PBS Empires — Medici: Godfathers of the Renaissance; Rick Steves — Luther and the Reformation,https://www.bbcselect.com/watch/civilisation/; https://www.pbs.org/empires/medici/; https://www.ricksteves.com/watch-read-listen/video/tv-show/tv-specials/luther,Art; Custom and Convention; Education; Good and Evil; Happiness; Language,Core (1952),
Not Started,14,1,14,Montaigne,Essays,Of Custom...; Of Pedantry; Of the Education of Children; ...; Of Cannibals; ...; Upon Some Verses of Virgil,Custom and Convention; Education; Experience; Knowledge; Opinion; Reasoning; Truth; Virtue and Vice,"PBS Medici for Renaissance humanism; then BBC Civilisation for print, learning, and reforming Europe.",Lecture/documentary cue — use/search: “Montaigne Essays Renaissance humanism”,"Rick Steves Luther — use Reformation pressure as the background for satire, skepticism, education, and self-examination.",Watch for Custom and Convention; Education; Experience; Knowledge: Renaissance humanism reopens antiquity and discovers the self as a problem.,BBC_CIVILISATION; PBS_MEDICI; RICK_STEVES_LUTHER,Kenneth Clark — Civilisation; PBS Empires — Medici: Godfathers of the Renaissance; Rick Steves — Luther and the Reformation,https://www.bbcselect.com/watch/civilisation/; https://www.pbs.org/empires/medici/; https://www.ricksteves.com/watch-read-listen/video/tv-show/tv-specials/luther,Custom and Convention; Education; Experience; Opinion; Reasoning; Truth; Virtue and Vice; Knowledge,Core (1952),
Not Started,15,1,15,Shakespeare,Hamlet,Focus: Act I (ghost); Act III (to be/not to be; play-within-play); Act V (graveyard; ending) (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"RSC Shakespeare Learning Zone — Hamlet; watch plot, characters, and key scenes before reading.","Watch a staged production through RSC Watch Online, Globe Player, Digital Theatre, or another reputable production source: Hamlet.","Crash Course Literature/Theater — use the genre context: tragedy, comedy, history play, rhetoric, or political theatre.",Watch for Desire; Emotion; Fate; Good and Evil: Shakespeare makes public order and private speech collide inside the same human voice.,RSC_LEARN; RSC_STREAM; GLOBE_PLAYER; CRASH_LIT; CRASH_THEATER,Royal Shakespeare Company — Shakespeare Learning Zone; Royal Shakespeare Company — Watch Online; Shakespeare's Globe Player; Crash Course Literature; Crash Course Theater and Drama,https://www.rsc.org.uk/shakespeare-learning-zone; https://www.rsc.org.uk/watch-online; https://player.shakespearesglobe.com/; https://thecrashcourse.com/topic/literature/; https://thecrashcourse.com/topic/theaterdrama/,Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,Core (1952),
Not Started,16,1,16,Locke,Concerning Civil Government (Second Treatise),Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Constitution; Law; Citizen; Justice; Liberty; Experience; Knowledge,OYC Political Philosophy — watch the matching author lectures; use Crash Course European History for state/revolution context.,Open Yale / lecture cue — use/search: “Locke Concerning Civil Government (Second Treatise) political philosophy lecture”,"Harvard Justice — connect sovereignty, consent, rights, equality, and democracy to live moral-political arguments.","Watch for Government; Constitution; Law; Citizen: modern politics asks what authority remains when custom, throne, church, and nature lose automatic command.",OYC_POLPHIL; OYC_SOCIAL; HARVARD_JUSTICE; CRASH_EURO,Open Yale PLSC 114 — Introduction to Political Philosophy; Open Yale SOCY 151 — Foundations of Modern Social Theory; Harvard Justice — Michael Sandel course videos; Crash Course European History,https://oyc.yale.edu/political-science/plsc-114; https://oyc.yale.edu/sociology/socy-151; https://justiceharvard.org/; https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX,Government; Constitution; Law; Citizen; Justice; Liberty; Experience; Knowledge,Core (1952),
Not Started,17,1,17,Rousseau,The Social Contract,Book I-II,Citizen; Constitution; Democracy; Government; Justice; Law; Liberty; State,OYC Political Philosophy — watch the matching author lectures; use Crash Course European History for state/revolution context.,Open Yale / lecture cue — use/search: “Rousseau The Social Contract political philosophy lecture”,"Harvard Justice — connect sovereignty, consent, rights, equality, and democracy to live moral-political arguments.","Watch for Citizen; Constitution; Democracy; Government: modern politics asks what authority remains when custom, throne, church, and nature lose automatic command.",OYC_POLPHIL; OYC_SOCIAL; HARVARD_JUSTICE; CRASH_EURO,Open Yale PLSC 114 — Introduction to Political Philosophy; Open Yale SOCY 151 — Foundations of Modern Social Theory; Harvard Justice — Michael Sandel course videos; Crash Course European History,https://oyc.yale.edu/political-science/plsc-114; https://oyc.yale.edu/sociology/socy-151; https://justiceharvard.org/; https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX,Citizen; Constitution; Democracy; Government; Justice; Law; Liberty; State,Core (1952),
Not Started,18,1,18,Gibbon,The Decline and Fall of the Roman Empire,Ch. 15-16,Cause; Government; History; Religion; Revolution; State; War and Peace,Crash Course World History — Roman Republic/Roman Empire context; then OYC Roman Architecture for empire as a visible political order.,Lecture/documentary cue — use/search: “Gibbon The Decline and Fall of the Roman Empire Rome virtue empire decline”,BBC Civilisation or OYC European Civilization — use the fall/legacy of Rome as the bridge to Christianity and modern Europe.,"Watch for Cause; Government; History; Religion: Rome turns character into public consequence: virtue, ambition, empire, decay, and institutional memory.",CRASH_WORLD; OYC_ROMANARCH; OYC_EUROCIV; BBC_CIVILISATION,"Crash Course World History; Open Yale HSAR 252 — Roman Architecture; Open Yale HIST 202 — European Civilization, 1648–1945; Kenneth Clark — Civilisation",https://www.youtube.com/playlist?list=PLBDA2E52FB1EF80C9; https://oyc.yale.edu/history-of-art/hsar-252; https://oyc.yale.edu/history/hist-202; https://www.bbcselect.com/watch/civilisation/,Cause; Government; History; Religion; Revolution; State; War and Peace,Core (1952),
Not Started,19,1,19,American Founding Documents,Declaration of Independence,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Citizen; Government; Justice; Law; Liberty; Constitution; Democracy; Revolution,"OYC American Revolution — lectures on independence, republicanism, and constitution-making.",Lecture cue — use/search: “Declaration of Independence American founding lecture”,"Harvard Justice — connect rights, representation, federalism, liberty, equality, and public reason.",Watch for Citizen; Government; Justice; Law: founding texts turn political philosophy into institutional design under pressure.,OYC_AMREV; OYC_POLPHIL; HARVARD_JUSTICE,Open Yale HIST 116 — The American Revolution; Open Yale PLSC 114 — Introduction to Political Philosophy; Harvard Justice — Michael Sandel course videos,https://oyc.yale.edu/history/hist-116; https://oyc.yale.edu/political-science/plsc-114; https://justiceharvard.org/,Citizen; Government; Justice; Law; Liberty; Revolution; Constitution; Democracy,Core (1952),
Not Started,20,1,20,American Founding Documents,Constitution of the United States,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Law; Constitution; Citizen; Democracy; Justice; Liberty; State,"OYC American Revolution — lectures on independence, republicanism, and constitution-making.",Lecture cue — use/search: “Constitution of the United States American founding lecture”,"Harvard Justice — connect rights, representation, federalism, liberty, equality, and public reason.",Watch for Government; Law; Constitution; Citizen: founding texts turn political philosophy into institutional design under pressure.,OYC_AMREV; OYC_POLPHIL; HARVARD_JUSTICE,Open Yale HIST 116 — The American Revolution; Open Yale PLSC 114 — Introduction to Political Philosophy; Harvard Justice — Michael Sandel course videos,https://oyc.yale.edu/history/hist-116; https://oyc.yale.edu/political-science/plsc-114; https://justiceharvard.org/,Government; Law; State; Constitution; Citizen; Democracy; Justice; Liberty,Core (1952),
Not Started,21,1,21,American Founding Documents,The Federalist Papers,"Nos. 1-10, 15, 31, 47, 51, 68-71",Citizen; Constitution; Democracy; Government; Law; Liberty; Justice; State,"OYC American Revolution — lectures on independence, republicanism, and constitution-making.",Lecture cue — use/search: “The Federalist Papers American founding lecture”,"Harvard Justice — connect rights, representation, federalism, liberty, equality, and public reason.",Watch for Citizen; Constitution; Democracy; Government: founding texts turn political philosophy into institutional design under pressure.,OYC_AMREV; OYC_POLPHIL; HARVARD_JUSTICE,Open Yale HIST 116 — The American Revolution; Open Yale PLSC 114 — Introduction to Political Philosophy; Harvard Justice — Michael Sandel course videos,https://oyc.yale.edu/history/hist-116; https://oyc.yale.edu/political-science/plsc-114; https://justiceharvard.org/,Citizen; Constitution; Democracy; Government; Law; Liberty; State; Justice,Core (1952),
Not Started,22,1,22,Adam Smith,The Wealth of Nations,"Introduction-Book I, Ch. 9",Government; Labor; Justice; Liberty; Wealth; Progress; Prudence,OYC Foundations of Modern Social Theory — matching author/context lectures; then Crash Course Economics for the vocabulary.,Lecture cue — use/search: “Adam Smith The Wealth of Nations lecture”,"OYC Financial Markets or Game Theory — connect labor, wealth, exchange, institutions, conflict, and modern capitalism.","Watch for Government; Labor; Justice; Liberty: economic texts become philosophical when wealth, labor, power, and human motives are treated as one system.",OYC_SOCIAL; CRASH_ECON; OYC_FINANCE; OYC_GAME,Open Yale SOCY 151 — Foundations of Modern Social Theory; Crash Course Economics; Open Yale ECON 252 — Financial Markets; Open Yale ECON 159 — Game Theory,https://oyc.yale.edu/sociology/socy-151; https://thecrashcourse.com/topic/economics/; https://oyc.yale.edu/economics/econ-252; https://oyc.yale.edu/economics/econ-159,Government; Labor; Wealth; Justice; Liberty; Progress; Prudence,Core (1952),
Not Started,23,1,23,Marx & Engels,Manifesto of the Communist Party,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Justice; Labor; Revolution; Slavery; State; Wealth; Progress,OYC Foundations of Modern Social Theory — matching author/context lectures; then Crash Course Economics for the vocabulary.,Lecture cue — use/search: “Marx & Engels Manifesto of the Communist Party lecture”,"OYC Financial Markets or Game Theory — connect labor, wealth, exchange, institutions, conflict, and modern capitalism.","Watch for Government; Justice; Labor; Revolution: economic texts become philosophical when wealth, labor, power, and human motives are treated as one system.",OYC_SOCIAL; CRASH_ECON; OYC_FINANCE; OYC_GAME,Open Yale SOCY 151 — Foundations of Modern Social Theory; Crash Course Economics; Open Yale ECON 252 — Financial Markets; Open Yale ECON 159 — Game Theory,https://oyc.yale.edu/sociology/socy-151; https://thecrashcourse.com/topic/economics/; https://oyc.yale.edu/economics/econ-252; https://oyc.yale.edu/economics/econ-159,Government; Justice; Labor; Revolution; Slavery; State; Wealth; Progress,Core (1952),
Not Started,24,1,24,Tocqueville,Democracy in America,"Vol. 1, Part II, Ch. 6-8",Government; Citizen; Democracy; Law; Constitution; Custom and Convention; Liberty; State,OYC Political Philosophy — watch the matching author lectures; use Crash Course European History for state/revolution context.,Open Yale / lecture cue — use/search: “Tocqueville Democracy in America political philosophy lecture”,"Harvard Justice — connect sovereignty, consent, rights, equality, and democracy to live moral-political arguments.","Watch for Government; Citizen; Democracy; Law: modern politics asks what authority remains when custom, throne, church, and nature lose automatic command.",OYC_POLPHIL; OYC_SOCIAL; HARVARD_JUSTICE; CRASH_EURO,Open Yale PLSC 114 — Introduction to Political Philosophy; Open Yale SOCY 151 — Foundations of Modern Social Theory; Harvard Justice — Michael Sandel course videos; Crash Course European History,https://oyc.yale.edu/political-science/plsc-114; https://oyc.yale.edu/sociology/socy-151; https://justiceharvard.org/; https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX,Government; Citizen; Democracy; Law; State; Constitution; Custom and Convention; Liberty,Expansion (1990),
Not Started,25,1,25,Ibsen,The Master Builder,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Duty; Family; Good and Evil; God; Truth; Will; Religion,"Crash Course Theater and Drama — watch the period/genre episode: neoclassicism, realism, modern drama, epic theatre, or absurdism.",Stage production cue — use/search: “Ibsen The Master Builder full play performance or reputable stage excerpts”,Watch a production/interview on National Theatre at Home or Digital Theatre if available; compare text to performed timing.,"Watch for Desire; Duty; Family; Good and Evil: drama lets ideas happen between bodies, pauses, entrances, exits, costumes, and public judgment.",CRASH_THEATER; NT_AT_HOME; DIGITAL_THEATRE,Crash Course Theater and Drama; National Theatre at Home; Digital Theatre,https://thecrashcourse.com/topic/theaterdrama/; https://www.ntathome.com/; https://www.digitaltheatre.com/,Desire; Duty; Family; Good and Evil; Truth; Will; God; Religion,Expansion (1990),
Not Started,26,1,26,Schrödinger,What Is Life?,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Cause; Evolution; Life and Death; God; Nature; Science; Religion; Sin,MIT STS.002 — scientific revolution / natural philosophy context; then BBC Story of Science for the long arc of method and proof.,Lecture cue — use/search: “Schrödinger What Is Life? science history lecture”,"Use OYC Astrophysics, MIT Mechanics, or NOVA as appropriate to see the modern consequence of the model.","Watch for Cause; Evolution; Life and Death; God: science here changes what counts as explanation: model, measurement, experiment, law, and reality.",MIT_STS; BBC_STORY_SCI; OYC_ASTRO; PBS_NOVA_EINSTEIN,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Open Yale ASTR 160 — Frontiers and Controversies in Astrophysics; NOVA — Inside Einstein's Mind",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://oyc.yale.edu/astronomy/astr-160; https://www.pbs.org/video/nova-inside-einsteins-mind/,Cause; Evolution; Life and Death; Nature; Science; God; Religion; Sin,Expansion (1990),
Not Started,27,1,27,American Founding Documents,The Articles of Confederation,"Focus: Articles II-III, IX, XIII; compare to Constitution",Government; Law; Constitution; Citizen; Liberty; Democracy; Justice; State,"OYC American Revolution — lectures on independence, republicanism, and constitution-making.",Lecture cue — use/search: “The Articles of Confederation American founding lecture”,"Harvard Justice — connect rights, representation, federalism, liberty, equality, and public reason.",Watch for Government; Law; Constitution; Citizen: founding texts turn political philosophy into institutional design under pressure.,OYC_AMREV; OYC_POLPHIL; HARVARD_JUSTICE,Open Yale HIST 116 — The American Revolution; Open Yale PLSC 114 — Introduction to Political Philosophy; Harvard Justice — Michael Sandel course videos,https://oyc.yale.edu/history/hist-116; https://oyc.yale.edu/political-science/plsc-114; https://justiceharvard.org/,Government; Law; Constitution; State; Citizen; Liberty; Democracy; Justice,Core (1952),Place with Declaration/Constitution/Federalist
